Image;Jaccard Index Axial;Jaccard Index Coronal;Jaccard Index Sagittal;Panoptic Quality Axial;Panoptic Quality Coronal;Panoptic Quality Sagittal;Dice Coefficient Axial;Dice Coefficient Coronal;Dice Coefficient Sagittal
BraTS20_Training_243;0.7517145872116089;0.7111771106719971;0.7603656053543091;0.7385459742816389;0.738387569280943;0.7383850512012207;0.6805796509847943;0.6122432311022175;0.6979765958279519
BraTS20_Training_244;0.8749552369117737;0.8457477688789368;0.8469393849372864;0.7385812146527532;0.7387845115955729;0.7389014177288229;0.863561190738699;0.8285000110602341;0.8332120925039332
BraTS20_Training_245;0.658994734287262;0.0;0.0;0.7386682051244797;0.0;0.0;0.5310234725578185;0.0;0.0
BraTS20_Training_246;0.8247230052947998;0.0;0.6267380118370056;0.7386666818692823;0.0;0.7383940266093355;0.7970719051148999;0.0;0.4517027687759395
BraTS20_Training_247;0.7963502407073975;0.8156691193580627;0.0;0.7384779187268519;0.7386028955687178;0.0;0.7592597255445046;0.7911780922624517;0.0
BraTS20_Training_248;0.8990519642829895;0.6801372766494751;0.8579159379005432;0.7388459886639367;0.7385443670918286;0.7387232322735549;0.8921662861948817;0.5645598253504827;0.848084341237763
BraTS20_Training_249;0.6799604892730713;0.6958670616149902;0.7611284255981445;0.7385838756416053;0.7384117059619161;0.738338122021166;0.5540796963946869;0.5880209368581462;0.6983486701121896
BraTS20_Training_250;0.6899495124816895;0.7379413843154907;0.0;0.7382137938455824;0.738225906760123;0.0;0.5562550443906377;0.6498350672418168;0.0
BraTS20_Training_251;0.7882840633392334;0.7228591442108154;0.7949631214141846;0.7382442904422024;0.7380795000131933;0.7381254890345215;0.7383306369464917;0.6421540243196294;0.7514138389886893
BraTS20_Training_252;0.0;0.7442309856414795;0.7588368058204651;0.0;0.738018372050173;0.7379307076448944;0.0;0.6833792930559037;0.7076734484054017
BraTS20_Training_253;0.8932512998580933;0.7505156993865967;0.7578650712966919;0.7381021333903767;0.7380003682531687;0.7378925585192952;0.8835904628330996;0.6809678223996009;0.6966552813043758
BraTS20_Training_254;0.6916521787643433;0.8141474723815918;0.8331178426742554;0.7377141182281781;0.7377934008269701;0.7376586583860953;0.5931469754152541;0.7867041963000365;0.8214852600840896
BraTS20_Training_255;0.9225082993507385;0.0;0.8684908151626587;0.7380005974567799;0.0;0.7382118495095116;0.9211101641531108;0.0;0.8636880906437089
