Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_109;Sagittal;True;0.1044002698957949;25285.5;15134.0
BraTS20_Training_110;Coronal;True;0.17380854657776745;4153.0;1719.5
BraTS20_Training_110;Axial;True;0.3466387023089057;4758.0;2787.5
BraTS20_Training_110;Sagittal;True;0.5279121308998488;7313.5;1698.5
BraTS20_Training_111;Coronal;False;0.0;0.0;0.0
BraTS20_Training_111;Axial;True;0.3811490449827615;15775.0;4439.5
BraTS20_Training_111;Sagittal;True;0.4636584241559353;19524.0;7492.5
BraTS20_Training_112;Coronal;True;0.4640050428975146;23795.0;25476.0
BraTS20_Training_112;Axial;True;0.7627913984629661;24785.0;10097.5
BraTS20_Training_112;Sagittal;True;0.6312665007051688;32646.5;14212.0
BraTS20_Training_113;Coronal;True;0.2542372879631879;9025.5;4382.5
BraTS20_Training_113;Axial;True;0.34692286380615023;5235.5;2749.5
BraTS20_Training_113;Sagittal;True;0.18115381247703125;7229.0;2848.0
BraTS20_Training_114;Coronal;True;0.6960782003680772;25224.5;24626.5
BraTS20_Training_114;Axial;True;0.02945337704192741;16393.5;13862.0
BraTS20_Training_114;Sagittal;True;1.4321574272380027;29561.0;8176.5
BraTS20_Training_115;Coronal;True;0.07067083983364719;12582.5;9780.0
BraTS20_Training_115;Axial;True;0.010476859428404095;8779.0;7186.5
BraTS20_Training_115;Sagittal;True;0.06884916566228833;13759.0;10196.0
BraTS20_Training_116;Coronal;True;0.12398982317930649;18077.5;14591.0
BraTS20_Training_116;Axial;True;0.18096173812047966;15827.5;15254.0
BraTS20_Training_116;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_117;Coronal;True;0.09999586355018697;10779.0;8284.0
BraTS20_Training_117;Axial;True;0.08315725030034415;7083.5;5947.0
BraTS20_Training_117;Sagittal;True;0.17751103435894228;10666.5;7266.5
BraTS20_Training_118;Coronal;True;0.025576695740694932;8242.0;7462.5
BraTS20_Training_118;Axial;True;0.06784997977808782;6292.0;4134.0
BraTS20_Training_118;Sagittal;True;0.06173554776190249;10187.0;5898.5
BraTS20_Training_119;Coronal;True;1.0391291019858777;7200.0;4393.5
BraTS20_Training_119;Axial;True;1.188161705191213;4712.0;2214.0
BraTS20_Training_119;Sagittal;True;0.8824312531840841;8621.0;3424.5
BraTS20_Training_120;Coronal;True;0.6500831119870216;23972.0;23250.5
BraTS20_Training_120;Axial;True;0.06192567652115555;16512.0;14665.0
BraTS20_Training_120;Sagittal;True;2.01145734869778;29020.5;10074.0
BraTS20_Training_121;Coronal;True;0.09339213483220982;18768.0;14418.0
BraTS20_Training_121;Axial;True;0.026512077987557475;12782.0;10917.5
BraTS20_Training_121;Sagittal;True;0.011790859163544276;18821.5;16977.5
BraTS20_Training_122;Coronal;True;0.0588142715918506;6826.0;4939.0
BraTS20_Training_122;Axial;True;0.12424920119213928;4552.0;4029.0
BraTS20_Training_122;Sagittal;True;0.035394184753505614;6306.5;5394.5
BraTS20_Training_123;Coronal;True;0.1807075470957461;18987.5;11117.0
BraTS20_Training_123;Axial;True;0.2876868852627014;14898.5;8138.5
BraTS20_Training_123;Sagittal;True;0.6115722845943599;25712.5;13488.5
BraTS20_Training_124;Coronal;True;0.09083405105368719;31194.5;18763.0
BraTS20_Training_124;Axial;True;0.17328559027899818;26086.0;18156.5
BraTS20_Training_124;Sagittal;True;1.328361634500137;36300.0;13688.5
BraTS20_Training_125;Coronal;True;0.21788833479712927;18745.5;10550.0
BraTS20_Training_125;Axial;True;0.1265608526689519;13446.5;6793.0
BraTS20_Training_125;Sagittal;True;0.11987104637833795;29903.0;6266.5
BraTS20_Training_126;Coronal;True;0.20403824104325843;16217.5;9985.0
BraTS20_Training_126;Axial;True;0.12748266623353696;10390.0;3583.0
BraTS20_Training_126;Sagittal;True;0.21127003179909817;17497.5;7654.5
BraTS20_Training_127;Coronal;True;0.05087099075519985;7992.5;4218.0
BraTS20_Training_127;Axial;True;0.0902636750125187;5381.5;3143.5
BraTS20_Training_127;Sagittal;True;0.054024510397520376;5782.5;3454.5
BraTS20_Training_128;Coronal;False;0.0;0.0;0.0
BraTS20_Training_128;Axial;False;0.0;0.0;0.0
BraTS20_Training_128;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_129;Coronal;False;0.0;0.0;0.0
BraTS20_Training_129;Axial;True;0.24268446049069914;7526.0;1755.0
BraTS20_Training_129;Sagittal;True;0.7709307107707083;12608.0;3587.5
BraTS20_Training_130;Coronal;True;0.23471271082123868;32384.0;23491.0
BraTS20_Training_130;Axial;True;0.995559498761108;17489.0;6899.5
